Country Name,Year,Indicator Name,Value
Costa Rica,2024,Exports of goods and services (annual % growth),5.770044789
Costa Rica,2023,Exports of goods and services (annual % growth),9.959313934
Costa Rica,2022,Exports of goods and services (annual % growth),18.5008765
Costa Rica,2021,Exports of goods and services (annual % growth),15.93392165
Costa Rica,2020,Exports of goods and services (annual % growth),-10.63285632
Costa Rica,2019,Exports of goods and services (annual % growth),4.261470046
Costa Rica,2018,Exports of goods and services (annual % growth),4.890960796
Costa Rica,2017,Exports of goods and services (annual % growth),6.954924489
Costa Rica,2016,Exports of goods and services (annual % growth),9.417271898
Costa Rica,2015,Exports of goods and services (annual % growth),2.888311942
Costa Rica,2014,Exports of goods and services (annual % growth),4.96433605
Costa Rica,2013,Exports of goods and services (annual % growth),3.311533498
Costa Rica,2012,Exports of goods and services (annual % growth),5.564272466
Costa Rica,2011,Exports of goods and services (annual % growth),7.048104151
Costa Rica,2010,Exports of goods and services (annual % growth),9.32745251
Costa Rica,2009,Exports of goods and services (annual % growth),-8.461752653
Costa Rica,2008,Exports of goods and services (annual % growth),2.172059316
Costa Rica,2007,Exports of goods and services (annual % growth),7.522935853
Costa Rica,2006,Exports of goods and services (annual % growth),8.04149726
Costa Rica,2005,Exports of goods and services (annual % growth),6.011897539
Costa Rica,2004,Exports of goods and services (annual % growth),10.38334176
Costa Rica,2003,Exports of goods and services (annual % growth),5.671028647
Costa Rica,2002,Exports of goods and services (annual % growth),2.680096879
Costa Rica,2001,Exports of goods and services (annual % growth),1.702018284
Costa Rica,2000,Exports of goods and services (annual % growth),2.240459978
Costa Rica,1999,Exports of goods and services (annual % growth),5.118522428
Costa Rica,1998,Exports of goods and services (annual % growth),14.45886576
Costa Rica,1997,Exports of goods and services (annual % growth),8.69545785
Costa Rica,1996,Exports of goods and services (annual % growth),6.256558123
Costa Rica,1995,Exports of goods and services (annual % growth),11.01838603
Costa Rica,1994,Exports of goods and services (annual % growth),3.941271885
Costa Rica,1993,Exports of goods and services (annual % growth),8.094809545
Costa Rica,1992,Exports of goods and services (annual % growth),17.06782029
Costa Rica,1991,Exports of goods and services (annual % growth),8.902605873
Costa Rica,1990,Exports of goods and services (annual % growth),7.901467687
Costa Rica,1989,Exports of goods and services (annual % growth),16.0735634
Costa Rica,1988,Exports of goods and services (annual % growth),7.370087506
Costa Rica,1987,Exports of goods and services (annual % growth),20.94858592
Costa Rica,1986,Exports of goods and services (annual % growth),3.627929426
Costa Rica,1985,Exports of goods and services (annual % growth),-3.992791868
Costa Rica,1984,Exports of goods and services (annual % growth),11.27502936
Costa Rica,1983,Exports of goods and services (annual % growth),-1.311734939
Costa Rica,1982,Exports of goods and services (annual % growth),-5.457704124
Costa Rica,1981,Exports of goods and services (annual % growth),11.11936087
